url,title,h1,h2s,top_words,top_bigrams,word_count
https://thelosangelesentrepreneur.com,Home - The Los Angeles Entrepreneur,,Easy Guide: How to Make Your Tattoo Look More Attractive | Recent Posts | Recent Comments,"simple(25), how(14), editorial(13), staff(13), faster(12), make(10), tips(10), performance(10), trending(9), success(8), inspiration(7), guide(7), iphone(7), boost(7), speed(7), brian(6), ferdinand(6), home(5), lifestyle(5), strategies(5)","editorial staff(13), how make(9), faster simple(8), simple tips(8), make iphone(7), iphone faster(7), tips boost(7), boost speed(7), brian ferdinand(6), simple guide(5), business facts(4), success simple(4), simple strategies(4), strategies grow(4), grow faster(4)",606
https://thelosangelesentrepreneur.com/,Home - The Los Angeles Entrepreneur,,Easy Guide: How to Make Your Tattoo Look More Attractive | Recent Posts | Recent Comments,"simple(25), how(14), editorial(13), staff(13), faster(12), make(10), tips(10), performance(10), trending(9), success(8), inspiration(7), guide(7), iphone(7), boost(7), speed(7), brian(6), ferdinand(6), home(5), lifestyle(5), strategies(5)","editorial staff(13), how make(9), faster simple(8), simple tips(8), make iphone(7), iphone faster(7), tips boost(7), boost speed(7), brian ferdinand(6), simple guide(5), business facts(4), success simple(4), simple strategies(4), strategies grow(4), grow faster(4)",606
https://thelosangelesentrepreneur.com/feed/,The Los Angeles Entrepreneur, |  |  |  |  |  | ,How to Check iPhone Performance Issues | How to Free Up Storage on iPhone | How to Close Background Apps to Improve Speed | Updating iOS to Make iPhone Faster | How to Optimize iPhone Settings for Better Performance | Best Apps and Features to Improve Speed | Common Mistakes That Slow Down iPhone | Conclusion: Best Ways to Make iPhone Faster,"can(111), also(69), simple(65), time(62), how(53), success(48), https(44), when(44), important(44), helps(44), light(44), lighting(41), another(40), furniture(39), one(38), make(37), thelosangelesentrepreneur(36), com(36), performance(36), faster(36)","https thelosangelesentrepreneur(36), thelosangelesentrepreneur com(36), nature photography(25), los angeles(23), angeles entrepreneur(22), appeared first(20), over time(18), brian ferdinand(15), common mistakes(14), can also(13), building improvement(13), entrepreneur https(12), can make(12), furniture fast(12), forbes finance(11)",8702
https://thelosangelesentrepreneur.com/comments/feed/,Comments for The Los Angeles Entrepreneur,,,"los(2), angeles(2), https(2), comments(1), entrepreneur(1), thelosangelesentrepreneur(1), com(1), empowering(1), entrepreneurs(1), insights(1), resources(1), inspiration(1), succeed(1), city(1), innovation(1), tue(1), hourly(1), wordpress(1), org(1)","los angeles(2), angeles entrepreneur(1), entrepreneur https(1), https thelosangelesentrepreneur(1), thelosangelesentrepreneur com(1), com empowering(1), empowering los(1), angeles entrepreneurs(1), insights resources(1), inspiration succeed(1), city innovation(1), innovation tue(1), hourly https(1), https wordpress(1), wordpress org(1)",28
https://thelosangelesentrepreneur.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fthelosangelesentrepreneur.com%2F,,,,"https(4), secret(4), ways(4), august(4), thelosangelesentrepreneur(3), com(3), easy(3), los(2), angeles(2), entrepreneur(2), texasfashioninsider(2), home(2), function(2), receiveembedmessage(2), var(2), queryselectorall(2), data-secret(2), can(2), turn(2), future(2)","https thelosangelesentrepreneur(3), thelosangelesentrepreneur com(3), easy ways(3), los angeles(2), angeles entrepreneur(2), data-secret secret(2), can turn(2), turn future(2), entrepreneur https(1), com editorial(1), editorial staff(1), staff https(1), com author(1), author texasfashioninsider(1), texasfashioninsider title(1)",113
https://thelosangelesentrepreneur.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fthelosangelesentrepreneur.com%2F&#038;format=xml,,,,"https(4), secret(4), ways(4), august(4), thelosangelesentrepreneur(3), com(3), easy(3), los(2), angeles(2), entrepreneur(2), texasfashioninsider(2), home(2), function(2), receiveembedmessage(2), var(2), queryselectorall(2), data-secret(2), can(2), turn(2), future(2)","https thelosangelesentrepreneur(3), thelosangelesentrepreneur com(3), easy ways(3), los angeles(2), angeles entrepreneur(2), data-secret secret(2), can turn(2), turn future(2), entrepreneur https(1), com editorial(1), editorial staff(1), staff https(1), com author(1), author texasfashioninsider(1), texasfashioninsider title(1)",113
https://thelosangelesentrepreneur.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.6,,,,"form(12), response-output(11), display(7), none(6), position(5), border(5), opacity(5), input(5), type(5), width(4), margin(4), padding(4), border-color(4), spinner(4), hidden(3), height(3), normal(3), relative(3), before(3), cursor(3)","response-output form(5), input type(5), response-output border-color(4), display none(3), position relative(3), position absolute(2), margin padding(2), padding border(2), normal important(2), none form(2), border solid(2), form submitting(2), top left(2), display inline-block(2), spinner visibility(2)",210
https://thelosangelesentrepreneur.com/wp-content/themes/katen/style.css?ver=7.0,,,,"theme(3), uri(3), https(3), license(3), katen(2), themeforest(2), net(2), author(2), themeger(2), name(1), item(1), katen-blog-magazine-wordpress-theme(1), shop(1), description(1), blog(1), magazine(1), wordpress(1), version(1), gnu(1), general(1)","uri https(3), https themeforest(2), themeforest net(2), theme name(1), name katen(1), katen theme(1), theme uri(1), net item(1), item katen-blog-magazine-wordpress-theme(1), katen-blog-magazine-wordpress-theme author(1), author themeger(1), themeger author(1), author uri(1), https themeger(1), themeger shop(1)",37
https://thelosangelesentrepreneur.com/wp-content/themes/katen-child/style.css?ver=7.0,,,,"theme(4), uri(3), https(3), themeger(3), license(3), katen(2), template(2), themeforest(2), net(2), author(2), name(1), child(1), user(1), portfolio(1), shop(1), description(1), minimal(1), blog(1), magazine(1), wordpress(1)","uri https(3), https themeforest(2), themeforest net(2), theme name(1), name katen(1), katen child(1), child template(1), template katen(1), katen theme(1), theme uri(1), net user(1), user themeger(1), themeger portfolio(1), portfolio author(1), author themeger(1)",44
https://thelosangelesentrepreneur.com/wp-content/themes/katen/css/bootstrap.min.css?ver=7.0,,,,"important(1279), auto(266), color(264), background-color(194), width(194), margin-left(191), flex(177), focus(176), display(165), none(162), active(146), border-color(144), margin-bottom(124), margin-top(112), padding(111), rgba(110), margin-right(99), fff(97), padding-left(97), padding-right(95)","flex auto(132), auto width(122), background-color border-color(79), auto important(73), margin-right important(72), margin-left important(72), margin-top important(72), margin-bottom important(72), padding-right important(72), padding-left important(72), padding-top important(72), padding-bottom important(72), color background-color(69), color fff(64), media min-width(51)",12057
